,,Proliferation group,,,,
100290_f_at,6230416J20Rik,RIKEN cDNA 6230416J20 gene,chr4 ,0.452,3,0.022
101001_at,5031439A09Rik,RIKEN cDNA 5031439A09 gene,chr3 ,-1.852,3,0.044
101004_f_at,Sfrs3,"splicing factor, arginine/serine-rich 3 (SRp20)",---,0.867,3,0.032
101372_at,Trip13,thyroid hormone receptor interactor 13,chr13 ,1.578,3,0.014
101445_at,Dnmt1,DNA methyltransferase (cytosine-5) 1,chr9 ,0.6,3,0.041
101589_at,Hmgn2,high mobility group nucleosomal binding domain 2,chr13 ,0.392,3,0.016
101920_at,Pole2,"polymerase (DNA directed), epsilon 2 (p59 subunit)",---,1.432,3,0.025
101957_f_at,Adprt1,ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) 1,chr1 ,0.266,3,0.007
101958_f_at,Tfdp1,transcription factor Dp 1,chr8 ,0.364,3,0.003
102047_at,Nmt1,N-myristoyltransferase 1,chr11 ,1.098,3,0.008
102103_f_at,NoneAvailable,---,---,1.173,3,0
102105_f_at,Ptgds,prostaglandin D2 synthase (brain),chr2 ,0.54,3,0.024
102128_f_at,Mrps25,mitochondrial ribosomal protein S25,---,1.148,3,0.01
102134_f_at,Atp5g2,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2",---,0.56,3,0.011
102280_at,Pcdh7,protocadherin 7,chr5 ,0.597,3,0.032
102848_f_at,2610524H06Rik,RIKEN cDNA 2610524H06 gene,---,0.197,3,0.026
103064_at,Chek1,checkpoint kinase 1 homolog (S. pombe),chr9 ,1.251,3,0.01
103094_at,Serf1,small EDRK-rich factor 1,chr13 ,0.583,3,0.009
103201_at,Ttk,Ttk protein kinase,chr9 ,2.66,3,0.018
103203_f_at,NoneAvailable,Mus musculus transcribed sequence with moderate similarity to protein ref:NP_078956.1 (H.sapiens)  hypothetical protein FLJ23311 [Homo sapiens],chr7 ,2.324,3,0.019
103204_r_at,NoneAvailable,Mus musculus transcribed sequence with moderate similarity to protein ref:NP_078956.1 (H.sapiens)  hypothetical protein FLJ23311 [Homo sapiens],chr7 ,1.738,3,0.048
103207_at,Pola1,"polymerase (DNA directed), alpha 1",chrX ,2.502,3,0.025
103212_at,BC006933,cDNA sequence BC006933,chr12 ,1.151,3,0.045
103240_f_at,Rnase2,"ribonuclease, RNase A family, 2",---,0.537,3,0.016
103444_at,E130315B21Rik,RIKEN cDNA E130315B21 gene,chr10 ,1.296,3,0.016
103797_at,Cdc7,cell division cycle 7 (S. cerevisiae),chr5 ,0.917,3,0.008
103821_at,Cdc6,cell division cycle 6 homolog (S. cerevisiae),---,2.833,3,0.016
103910_at,NoneAvailable,---,chr10 ,0.788,3,0.045
103944_at,Rad51l1,RAD51-like 1 (S. cerevisiae),chr12 ,0.358,3,0.006
104058_at,1110018J12Rik,RIKEN cDNA 1110018J12 gene,chr17 ,0.83,3,0.027
104258_at,Acyp2,"acylphosphatase 2, muscle type",chr11 ,-0.071,3,0.046
104313_at,Pgm2,phosphoglucomutase 2,chr4 ,0.87,3,0
160069_at,Gmnn,geminin,chr13 ,2.598,3,0.009
160377_at,Tardbp,TAR DNA binding protein,chr4 ,0.603,3,0.017
160496_s_at,Mcm3,minichromosome maintenance deficient 3 (S. cerevisiae),chr1 ,1.482,3,0.021
160518_at,1110060F11Rik,RIKEN cDNA 1110060F11 gene,chr4 ,0.42,3,0.019
160595_at,2310042P20Rik,RIKEN cDNA 2310042P20 gene,chr15 ,0.875,3,0.031
160907_at,C81234,expressed sequence C81234,chrX ,0.285,3,0.016
160988_r_at,D3Ertd330e,"DNA segment, Chr 3, ERATO Doi 330, expressed",chr3 ,0.265,3,0
161038_at,Prps2,phosphoribosyl pyrophosphate synthetase 2,chrX ,0.523,3,0.031
161122_f_at,Ndufab1,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1",---,1.68,3,0.003
161134_at,2610201A13Rik,RIKEN cDNA 2610201A13 gene,---,0.08,3,0.01
161232_r_at,Gpiap1,GPI-anchored membrane protein 1,---,0.227,3,0.019
161268_f_at,Gcs1,glucosidase 1,---,0.563,3,0.036
161492_i_at,NoneAvailable,---,---,0.081,3,0.017
161757_f_at,NoneAvailable,Mus musculus transcribed sequence,chr14 ,-0.117,3,0.001
161787_f_at,Ris2,retroviral integration site 2,chr8 ,0.401,3,0.018
162009_f_at,Msh2,mutS homolog 2 (E. coli),---,0.28,3,0.03
162327_f_at,Ndufv2,NADH dehydrogenase (ubiquinone) flavoprotein 2,---,0.242,3,0.022
92478_at,Stag1,stromal antigen 1,chr9 ,0.82,3,0.014
92551_at,Lig1,"ligase I, DNA, ATP-dependent",chr7 ,1.152,3,0.033
92561_at,Entpd5,ectonucleoside triphosphate diphosphohydrolase 5,chr12 ,-0.37,3,0.036
92593_at,Osf2-pending,osteoblast specific factor 2 (fasciclin I-like),chr3 ,1.316,3,0.006
92647_at,Rbbp4,retinoblastoma binding protein 4,chr4 ,-0.165,3,0.028
92782_at,Tmpo,thymopoietin,chr10 ,0.653,3,0
93228_at,Hells,"helicase, lymphoid specific",chr19 ,0.826,3,0.023
93248_at,D730042P09Rik,RIKEN cDNA D730042P09 gene,chr9 ,0.282,3,0.011
93333_at,Tbca,tubulin cofactor a,chr13 ,0.666,3,0.002
93439_f_at,Pawr,"PRKC, apoptosis, WT1, regulator",chr10 ,-0.266,3,0.017
93445_at,Cd5l,CD5 antigen-like,---,1.122,3,0.013
93459_s_at,Fzd4,frizzled homolog 4 (Drosophila),chr7 ,-2.581,3,0.006
94078_at,1110020P15Rik,RIKEN cDNA 1110020P15 gene,---,0.74,3,0.014
94228_at,Xpo1,"exportin 1, CRM1 homolog (yeast)",chr11 ,1.337,3,0.001
94376_s_at,Mre11a,meiotic recombination 11 homolog A (S. cerevisiae),chr9 ,2.127,3,0.035
94534_at,Idh3a,isocitrate dehydrogenase 3 (NAD+) alpha,chr9 ,0.587,3,0.023
94788_f_at,Tubb5,"tubulin, beta 5",chr17 ,1.367,3,0.026
94907_f_at,1110001J03Rik,RIKEN cDNA 1110001J03 gene,chr6 ,1.71,3,0.003
95063_at,2310021G01Rik,RIKEN cDNA 2310021G01 gene,chr2 ,2.4,3,0.041
95084_f_at,Grhpr,glyoxylate reductase/hydroxypyruvate reductase,chr4 ,2.569,3,0.006
95118_r_at,Kif22,kinesin family member 22,chr7 ,0.237,3,0.034
95131_f_at,Ndufb2,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2",chr2 ,1.121,3,0.003
95292_at,Itga4,integrin alpha 4,chr2 ,1.618,3,0.02
95456_r_at,Shfdg1,split hand/foot deleted gene 1,chr6 ,1.322,3,0.026
95462_at,Bzw2,basic leucine zipper and W2 domains 2,chr12 ,1.226,3,0.049
95527_at,Chaf1a,"chromatin assembly factor 1, subunit A (p150)",chr17 ,1.001,3,0
95611_at,Lpl,lipoprotein lipase,chr8 ,-0.268,3,0.028
95612_at,Rfc5,replication factor C (activator 1) 5,---,2.137,3,0.009
95703_at,Uble1a,ubiquitin-like 1 (sentrin) activating enzyme E1A,---,0.674,3,0.022
95732_at,1110005L13Rik,RIKEN cDNA 1110005L13 gene,chr10 ,2.644,3,0.028
95927_f_at,2610201A13Rik,RIKEN cDNA 2610201A13 gene,chr11 ,1.536,3,0.02
95967_at,NoneAvailable,Mus musculus transcribed sequences,chr13 ,-0.136,3,0.035
96156_at,1110008H02Rik,RIKEN cDNA 1110008H02 gene,chr1 ,0.334,3,0.001
96280_at,Ndufa2,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2",chr18 ,0.957,3,0.002
96625_at,D630024B06Rik,RIKEN cDNA D630024B06 gene,chr14 ,1.795,3,0.01
96629_at,D7Rp2e,"DNA segment, Chr 7, Roswell Park 2 complex, expressed",---,0.862,3,0.034
96686_i_at,2010100O12Rik,RIKEN cDNA 2010100O12 gene,chr2 ,1.279,3,0.005
96687_f_at,2010100O12Rik,RIKEN cDNA 2010100O12 gene,chr2 ,1.093,3,0
96710_at,C530002L11Rik,RIKEN cDNA C530002L11 gene,chr11 ,0.039,3,0.007
96858_at,Pdcd8,programmed cell death 8,chrX ,0.932,3,0.013
96891_at,Anp32b,"acidic nuclear phosphoprotein 32 family, member B",chr4 ,0.977,3,0.024
96916_at,Mrpl33,mitochondrial ribosomal protein L33,chr5 ,-0.061,3,0.009
97095_at,Bub1,budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae),---,3.241,3,0.008
97358_at,Lphn1,latrophilin 1,chr8 ,0.169,3,0.021
97393_at,Vrk1,vaccinia related kinase 1,chr12 ,1.381,3,0.035
97411_at,Ect2,ect2 oncogene,chr3 ,2.597,3,0.019
97492_at,0610040B21Rik,RIKEN cDNA 0610040B21 gene,chr4 ,0.189,3,0.032
97909_at,Stmn1,stathmin 1,chr4 ,0.912,3,0.004
98072_r_at,Dck,deoxycytidine kinase,chr5 ,0.4,3,0.018
98140_at,Cdh1,cadherin 1,---,0.145,3,0.017
98550_at,Set,SET translocation,chr1 ,1.359,3,0.045
98618_at,Dtymk,deoxythymidylate kinase,chr1 ,1.551,3,0.004
98922_at,Itm1,intergral membrane protein 1,chr9 ,-0.602,3,0.01
98929_at,1110018B13Rik,RIKEN cDNA 1110018B13 gene,chr13 ,1.14,3,0.032
98956_at,Tram1,translocating chain-associating membrane protein 1,chr1 ,-0.019,3,0.049
98993_at,Ppp2r5c,"protein phosphatase 2, regulatory subunit B (B56), gamma isoform",chr12 ,-0.394,3,0.047
98999_at,Adsl,adenylosuccinate lyase,chr15 ,2.382,3,0.036
99111_at,Skd3,suppressor of K+ transport defect 3,chr7 ,-0.206,3,0.017
99119_at,Cfl1,"cofilin 1, non-muscle",chr19 ,0.325,3,0.012
99439_at,Mas1,MAS1 oncogene,chr17 ,0.063,3,0.048
99457_at,Mki67,antigen identified by monoclonal antibody Ki 67,chr7 ,2.708,3,0.002
99475_at,Socs2,suppressor of cytokine signaling 2,chr10 ,-3.55,3,0.012
99513_at,Pla2g4a,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",chr1 ,0.589,3,0.032
99581_at,Hint,histidine triad nucleotide binding protein,---,1.503,3,0.038
99631_f_at,Cox6a1,"cytochrome c oxidase, subunit VI a, polypeptide 1",chr5 ,0.75,3,0.004
99658_f_at,1110025H10Rik,RIKEN cDNA 1110025H10 gene,chr17 ,0.702,3,0.043
99660_f_at,Cox7c,"cytochrome c oxidase, subunit VIIc",chr11 ,0.349,3,0.021
99777_s_at,6230416J20Rik,RIKEN cDNA 6230416J20 gene,chr4 ,0.516,3,0.01
100039_at,Tmem4,transmembrane protein 4,chr10 ,1.81,6,0.003
100057_at,2510027N19Rik,RIKEN cDNA 2510027N19 gene,chr7 ,3.001,6,0
100059_at,Cyba,"cytochrome b-245, alpha polypeptide",chr8 ,1.77,6,0.038
100073_at,2510005D08Rik,RIKEN cDNA 2510005D08 gene,chr14 ,2.121,6,0.012
100079_at,Ndufb9,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9",chr15 ,1.058,6,0.013
100089_at,Ppic,peptidylprolyl isomerase C,chr18 ,-0.435,6,0.039
100116_at,2810417H13Rik,RIKEN cDNA 2810417H13 gene,chr1 ,2.111,6,0.026
100128_at,Cdc2a,cell division cycle 2 homolog A (S. pombe),---,4.133,6,0.002
100156_at,Mcm5,"minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)",chr8 ,5.137,6,0.012
100331_g_at,Prdx2,peroxiredoxin 2,chr1 ,1.095,6,0.001
100400_at,4921531G14Rik,RIKEN cDNA 4921531G14 gene,chr15 ,0.81,6,0.045
100459_at,Rad50,RAD50 homolog (S. cerevisiae),---,2.337,6,0.009
100512_at,Uchl5,ubiquitin carboxyl-terminal esterase L5,chr1 ,1.055,6,0.006
100527_at,D11Ertd99e,"DNA segment, Chr 11, ERATO Doi 99, expressed",chr11 ,2.559,6,0.038
100539_at,2410041A17Rik,RIKEN cDNA 2410041A17 gene,chr4 ,0.756,6,0.007
100543_s_at,Brd7,bromodomain containing 7,chr8 ,1.094,6,0.003
100550_f_at,Cox6c,"cytochrome c oxidase, subunit VIc",chr15 ,0.466,6,0
100568_at,Abce1,"ATP-binding cassette, sub-family E (OABP), member 1",---,1.485,6,0.011
100569_at,Anxa2,annexin A2,chr9 ,-0.123,6,0.003
100576_at,Pafah1b3,"platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit",---,1.257,6,0.004
100577_at,Snrpd1,small nuclear ribonucleoprotein D1,chr18 ,1.295,6,0
100588_at,Psme2,"proteasome (prosome, macropain) 28 subunit, beta",chr14 ,0.648,6,0
100592_at,Ghitm,growth hormone inducible transmembrane protein,chr14 ,1.179,6,0.024
100612_at,Rrm1,ribonucleotide reductase M1,---,1.929,6,0.045
100618_f_at,Slc25a5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",---,1.078,6,0.012
100628_at,Ndufc1,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1",---,1.336,6,0.006
100633_at,2810484M10Rik,RIKEN cDNA 2810484M10 gene,---,-0.323,6,0.045
100733_at,Psma2,"proteasome (prosome, macropain) subunit, alpha type 2",chr13 ,1.64,6,0.006
100917_at,NoneAvailable,---,chr18 ,1.316,6,0.037
100990_g_at,Itgb1bp1,integrin beta 1 binding protein 1,---,0.369,6,0.031
101061_at,Ssr2,"signal sequence receptor, beta",chr3 ,1.296,6,0.034
101065_at,Pcna,proliferating cell nuclear antigen,chr19 ,0.251,6,0.008
101067_at,2010005E08Rik,RIKEN cDNA 2010005E08 gene,chr3 ,0.448,6,0.01
101096_s_at,Hs1bp1,HS1 binding protein,chr2 ,1.123,6,0.018
101097_at,BC028768,cDNA sequence BC028768,chr19 ,0.818,6,0.019
101105_at,Banf1,barrier to autointegration factor 1,chr19 ,2.053,6,0.002
101207_at,Ppia,peptidylprolyl isomerase A,chr11 ,0.267,6,0.011
101254_at,Ran,"RAN, member RAS oncogene family",chr2 ,1.149,6,0.002
101380_at,Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14,chr12 ,0.228,6,0.033
101407_at,Frda,Friedreich ataxia,chr19 ,1.288,6,0.027
101421_at,Rnf5,ring finger protein 5,chr17 ,1.067,6,0.044
101440_at,1110033L15Rik,RIKEN cDNA 1110033L15 gene,chr2 ,0.499,6,0.027
101486_at,Psmb10,"proteasome (prosome, macropain) subunit, beta type 10",chr8 ,1.623,6,0.012
101506_at,Snrpa1,small nuclear ribonucleoprotein polypeptide A',chr7 ,1.197,6,0.003
101521_at,Birc5,baculoviral IAP repeat-containing 5,chr11 ,2.475,6,0.01
101525_at,Ndufb10,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10",chr17 ,0.565,6,0.008
101558_s_at,Psmb5,"proteasome (prosome, macropain) subunit, beta type 5",chr14 ,1.051,6,0.018
101562_at,Hsp70-4,heat shock protein 4,chr2 ,2.149,6,0.047
101579_at,Srp9,signal recognition particle 9,chr1 ,0.56,6,0.028
101580_at,Cox7b,cytochrome c oxidase subunit VIIb,chr1 ,1.791,6,0
101634_at,Npm1,nucleophosmin 1,chr11 ,0.582,6,0.008
101680_at,Rpl27a,ribosomal protein L27a,chr13 ,-0.081,6,0
101741_at,NoneAvailable,---,chr11 ,0.952,6,0.004
101866_at,Arfrp1,ADP-ribosylation factor related protein 1,chr2 ,0.898,6,0.011
101890_f_at,Dnajc2,"DnaJ (Hsp40) homolog, subfamily C, member 2",chr5 ,1.708,6,0.027
101954_at,H2afz,"H2A histone family, member Z",chr12 ,0.014,6,0.023
101964_at,Tkt,transketolase,chr14 ,1.087,6,0.001
101992_at,Psmb6,"proteasome (prosome, macropain) subunit, beta type 6",chr11 ,1.47,6,0.016
102001_at,Rrm2,ribonucleotide reductase M2,chr12 ,1.74,6,0.02
102019_at,Mrpl13,mitochondrial ribosomal protein L13,chr15 ,1.841,6,0.001
102022_at,1110007A04Rik,RIKEN cDNA 1110007A04 gene,---,1.16,6,0.009
102126_at,Rps12,ribosomal protein S12,chr10 ,0.076,6,0.03
102194_at,2810432D09Rik,RIKEN cDNA 2810432D09 gene,chr4 ,0.91,6,0.031
102197_at,Nucb2,nucleobindin 2,chr7 ,0.931,6,0.019
102409_at,Lsm8,"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)",chr6 ,1.406,6,0.001
102412_at,AW541137,expressed sequence AW541137,chr10 ,2.049,6,0.032
102631_at,Blm,Bloom syndrome homolog (human),chr7 ,1.408,6,0.003
102791_at,Psmb8,"proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional protease 7)",chr17 ,-0.163,6,0.016
102821_s_at,Rasl2-9,"RAS-like, family 2, locus 9",chr2 ,1.55,6,0
102838_at,Sell,"selectin, lymphocyte",chr1 ,0.254,6,0.004
102853_at,Cspg6,chondroitin sulfate proteoglycan 6,chr19 ,1.265,6,0.037
102970_at,Psmc3ip,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein",chr11 ,0.86,6,0.028
103038_at,Guca1a,guanylate cyclase activator 1a (retina),chr17 ,-0.105,6,0.007
103089_at,Cd48,CD48 antigen,chr1 ,7.012,6,0
103319_at,Psmd10,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10",chrX ,0.731,6,0.01
103334_at,Crcp,calcitonin gene-related peptide-receptor component protein,chr5 ,1.088,6,0.015
103335_at,Lgals9,"lectin, galactose binding, soluble 9",chr11 ,2.142,6,0.019
103418_at,Rfc4,replication factor C (activator 1) 4,chr16 ,2.864,6,0.041
103442_at,BC003479,cDNA sequence BC003479,chr11 ,1.965,6,0.007
103468_at,Mns1,meiosis-specific nuclear structural protein 1,chr9 ,3.961,6,0.026
103534_at,NoneAvailable,---,chr7 ,2.111,6,0.006
103581_at,Cte1,cytosolic acyl-CoA thioesterase 1,chr12 ,0.169,6,0.01
103598_at,Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,chr1 ,0.862,6,0.032
103605_g_at,Rgs19,regulator of G-protein signaling 19,chr2 ,0.421,6,0.01
103608_at,2810431B21Rik,RIKEN cDNA 2810431B21 gene,chr13 ,0.933,6,0.047
103619_at,1810044O22Rik,RIKEN cDNA 1810044O22 gene,chr8 ,1.634,6,0.009
103654_at,Nsbp1,nucleosome binding protein 1,chrX ,0.032,6,0.02
103671_at,Htatip2,"HIV-1 tat interactive protein 2, homolog (human)",chr7 ,0.743,6,0.01
103683_at,Dhodh,dihydroorotate dehydrogenase,chr8 ,1.175,6,0.041
103805_at,Nbn,nibrin,chr4 ,0.182,6,0
103881_at,1110013G13Rik,RIKEN cDNA 1110013G13 gene,chr3 ,1.342,6,0.006
103885_at,1500019O16Rik,RIKEN cDNA 1500019O16 gene,chr7 ,5.88,6,0.011
103939_at,2610509I15Rik,RIKEN cDNA 2610509I15 gene,---,0.597,6,0.008
104042_at,Slc35b1,"solute carrier family 35, member B1",chr17 ,1.214,6,0.037
104044_at,1300006N24Rik,RIKEN cDNA 1300006N24 gene,chr9 ,1.315,6,0.044
104057_at,Grpel1,"GrpE-like 1, mitochondrial",chr5 ,1.548,6,0.026
104077_at,1110049G11Rik,RIKEN cDNA 1110049G11 gene,chrX ,1.238,6,0.01
104078_g_at,1110049G11Rik,RIKEN cDNA 1110049G11 gene,chrX ,3.329,6,0.001
104080_at,Pdap1,PDGFA associated protein 1,chr5 ,2.918,6,0.01
104135_at,Arl3,ADP-ribosylation factor-like 3,chr19 ,0.196,6,0.008
104145_at,Tcof1,"Treacher Collins Franceschetti syndrome 1, homolog",chr18 ,1.073,6,0.043
104147_at,Nans,N-acetylneuraminic acid synthase (sialic acid synthase),chr4 ,1.196,6,0.022
104212_at,Lrpprc,leucine-rich PPR-motif containing,---,0.574,6,0.023
104234_at,Mrps25,mitochondrial ribosomal protein S25,chr6 ,1.243,6,0.029
104237_at,2700061N24Rik,RIKEN cDNA 2700061N24 gene,chr13 ,1.881,6,0.016
104248_at,0610038P07Rik,RIKEN cDNA 0610038P07 gene,chr3 ,0.168,6,0.046
104297_at,Ipo11,importin 11,chr13 ,1.447,6,0.02
104301_at,2410018G20Rik,RIKEN cDNA 2410018G20 gene,chr16 ,1.631,6,0.002
104322_at,Ckap2,cytoskeleton associated protein 2,chr8 ,1.598,6,0.003
104356_at,4921516M08Rik,RIKEN cDNA 4921516M08 gene,---,1.385,6,0
104380_at,Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1",chr4 ,0.449,6,0.002
104390_at,Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",---,1.176,6,0.045
104423_at,2810047L02Rik,RIKEN cDNA 2810047L02 gene,chr1 ,3.018,6,0.009
104476_at,Rbl1,retinoblastoma-like 1 (p107),chr2 ,1.983,6,0.011
104541_at,Prtn3,proteinase 3,chr10 ,1.916,6,0.042
104567_at,Mrpl46,mitochondrial ribosomal protein L46,chr7 ,1.995,6,0.031
104733_at,Cetn2,centrin 2,chrX ,0.012,6,0.015
104738_at,Zrf2,zuotin related factor 2,chr6 ,1.861,6,0.008
104762_r_at,1500015J03Rik,RIKEN cDNA 1500015J03 gene,chr2 ,1.459,6,0.042
104766_at,Nola1,"nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)",---,1.457,6,0.002
160076_at,Mtx2,metaxin 2,chr2 ,1.76,6,0.035
160107_at,Hprt,hypoxanthine guanine phosphoribosyl transferase,chrX ,0.226,6,0.028
160125_at,D11Ertd497e,"DNA segment, Chr 11, ERATO Doi 497, expressed",---,0.876,6,0.007
160126_at,Map2k1ip1,mitogen-activated protein kinase kinase 1 interacting protein 1,chr3 ,0.372,6,0.049
160135_at,D16Ertd502e,"DNA segment, Chr 16, ERATO Doi 502, expressed",chr16 ,1.284,6,0.007
160152_at,Psmc1,"protease (prosome, macropain) 26S subunit, ATPase 1",chr16 ,1.442,6,0.02
160165_at,Ubc-rs2,"ubiquitin C, related sequence 2",chr7 ,0.51,6,0.046
160176_at,Hirip5,histone cell cycle regulation defective interacting protein 5,chr15 ,1.669,6,0
160193_at,5730551F12Rik,RIKEN cDNA 5730551F12 gene,chr10 ,0.6,6,0.002
160203_at,5330419I01Rik,RIKEN cDNA 5330419I01 gene,chr1 ,0.873,6,0.017
